Diario,Tipo_de_pieza,Interactividad,Soporte,Número_de_fuentes,Número_de_fuentes_label,Tipo_de_fuente,Número_de_visualizaciones,Número_de_visualizaciones_label,Deporte,Autor,Clásico,Perfil_del_autor,Fecha,Titular,Enlace final copiado
Marca,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Adri?n D?az,No,Periodista,20/11/2019,El otro r?cord que est? a punto de batir Nino... y van unos cuantos,<a href='https://www.marca.com/futbol/elche/2019/11/20/5dd5113e22601d56038b463a.html' target='_blank'>'El otro r?cord que est? a punto de batir Nino... y van unos cuantos'</a><br/>
Marca,Artículo de datos,Estática,Digital,1,Una,Externa,0,Ninguna,Baloncesto,Andr?s Castej?n,No,Periodista,20/11/2019,Los hermanos Gasol reinan como una de las mejores parejas de la historia de la NBA,<a href='https://www.marca.com/baloncesto/nba/2019/11/20/5dd52d71e2704e72a48b45da.html' target='_blank'>'Los hermanos Gasol reinan como una de las mejores parejas de la historia de la NBA'</a><br/>
Mundo Deportivo,Previa,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Xabier Isasa,No,Periodista,20/11/2019,Una estad?stica terror?fica en 81 visitas al Bernab?u,<a href='https://www.mundodeportivo.com/futbol/real-sociedad/20191120/471761838904/seis-triunfos-en-81-visitas-al-bernabeu.html' target='_blank'>'Una estad?stica terror?fica en 81 visitas al Bernab?u'</a><br/>
Sport,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,1,Una,Fútbol,Juan Manuel D?az/ Marc Creus,No,Periodista y departamento de infografía,21/11/2019,La nueva jerarqu?a del centro del campo del Bar?a,<a href='https://www.sport.es/es/noticias/barca/nueva-jerarquia-del-centro-del-campo-del-barca-7743396' target='_blank'>'La nueva jerarqu?a del centro del campo del Bar?a'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Iv?n Molero,No,Periodista,21/11/2019,"Cornell?, un muro psicol?gico","<a href='https://as.com/futbol/2019/11/20/primera/1574270487_697095.html' target='_blank'>'Cornell?, un muro psicol?gico'</a><br/>"
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Aimara G. Gil,No,Periodista,21/11/2019,S?lo el Depor marca m?s que el d?o Jenni-Oshoala,<a href='https://as.com/futbol/2019/11/20/femenino/1574282164_990377.html' target='_blank'>'S?lo el Depor marca m?s que el d?o Jenni-Oshoala'</a><br/>
Mundo Deportivo,Especial,Estática,Papel y digital,2,Dos,Externa,1,Una,Fútbol,?ngel P?rez/ Eric Rosique,No,Periodista y departamento de infografía,20/11/2019,"Los 70 de Messi, con m?s m?rito que los 99 de CR7","<a href='https://www.mundodeportivo.com/futbol/fc-barcelona/20191119/471740948157/fc-barcelona-barca-messi-cristiano.html' target='_blank'>'Los 70 de Messi, con m?s m?rito que los 99 de CR7'</a><br/><b>Visualización en papel:</b><a href='https://imgur.com/eXXuphE' target='_blank'>'https://imgur.com/eXXuphE'</a>"
Marca,Artículo de datos,Estática,Papel,0,No se indica,Ninguna,0,Ninguna,Fútbol,Santiago Siguero,No,Periodista,21/11/2019,Sube la media,<a href='https://imgur.com/TPHG4UY' target='_blank'>'Sube la media'</a><br/>
Sport,Previa,Interactiva,Papel y digital,0,No se indica,Ninguna,2,Dos,Fútbol,David Boti,Sí,Periodista,17/12/2019,El cl?sico del desempate,<a href='https://www.sport.es/es/noticias/clasico/barcelona-madrid-clasico-desempate-7778096' target='_blank'>'El cl?sico del desempate'</a><br/>
Sport,Videográfico,Estática,Digital,1,Una,Externa,2,Dos,Fútbol,Redacci?n,Sí,Periodista,18/12/2019,El cl?sico del desempate,<a href='https://www.sport.es/es/noticias/clasico/barcelona-madrid-clasico-desempate-7778096?jwsource=cl' target='_blank'>'El cl?sico del desempate'</a><br/>
Mundo Deportivo,Especial,Estática,Papel y digital,1,Una,Externa,1,Una,Fútbol,Javier Gasc?n/ Vanesa Mauri,No,Periodista y departamento de infografía,20/11/2019,Tres r?cords de Pel? a tiro,<a href='https://www.mundodeportivo.com/futbol/fc-barcelona/20191120/471752178021/los-tres-records-de-pele-que-messi-tiene-a-tiro.html' target='_blank'>'Tres r?cords de Pel? a tiro'</a><br/><b>Visualización en papel:</b><a href='https://imgur.com/e01YRL3' target='_blank'>'https://imgur.com/e01YRL3'</a>
Mundo Deportivo,Previa,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Gabriel Sans/ Departamento infografía,No,Periodista y departamento de infografía,21/11/2019,Otra defensa in?dita,<a href='https://www.mundodeportivo.com/futbol/fc-barcelona/20191121/471772122030/barca-valverde-defensa.html' target='_blank'>'Otra defensa in?dita'</a><br/>
Mundo Deportivo,Previa,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Redacci?n,No,Periodista,21/11/2019,Aguirre solo ha ganado dos de 21 partidos contra el Bar?a,<a href='https://www.mundodeportivo.com/futbol/fc-barcelona/20191119/471759005063/aguirre-solo-ha-ganado-dos-de-21-partidos-contra-el-barca.html' target='_blank'>'Aguirre solo ha ganado dos de 21 partidos contra el Bar?a'</a><br/>
Mundo Deportivo,Especial,Estática,Papel,0,No se indica,Ninguna,2,Dos,Fútbol,Jos? Antonio Guill?n/ Ferran Morales,No,Periodista y departamento de infografía,23/11/2019,"50 a?os despu?s, Robert 'el breve'","<a href='https://imgur.com/tOwoo7Z' target='_blank'>'50 a?os despu?s, Robert 'el breve''</a><br/>"
Mundo Deportivo,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,1,Una,Fútbol,Germ?n Melero/ Departamento de infografía,No,Periodista y departamento de infografía,21/11/2019,"Odegaard, un refuerzo de lujo","<a href='https://www.mundodeportivo.com/futbol/real-sociedad/20191122/471781050246/odegaard-un-refuerzo-de-lujo.html' target='_blank'>'Odegaard, un refuerzo de lujo'</a><br/>"
Mundo Deportivo,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Endika R?o,No,Periodista,21/11/2019,?Qu? resultados obtiene el Athletic cuando no est? Muniain?,<a href='https://www.mundodeportivo.com/futbol/athletic-bilbao/20191122/471781112895/athletic-muniain-resultados-liga.html' target='_blank'>'?Qu? resultados obtiene el Athletic cuando no est? Muniain?'</a><br/>
Mundo Deportivo,Previa,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,I?aki Aiete,No,Periodista,21/11/2019,"El Eibar, con el viento a favor","<a href='https://www.mundodeportivo.com/futbol/eibar/20191121/471780290958/el-eibar-con-el-viento-a-favor.html' target='_blank'>'El Eibar, con el viento a favor'</a><br/>"
Sport,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Carles Rosell,No,Periodista,21/11/2019,Nada como jugar en casa,<a href='https://www.sport.es/es/noticias/girona/nada-como-jugar-casa-7747095' target='_blank'>'Nada como jugar en casa'</a><br/>
Sport,Previa,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Carles Rosell,No,Periodista,22/11/2019,El reto de a?adir una v?ctima m?s a la lista,<a href='https://www.sport.es/es/noticias/girona/reto-anadir-una-victima-mas-lista-7745786' target='_blank'>'El reto de a?adir una v?ctima m?s a la lista'</a><br/>
Marca,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Felipe Olcina,No,Periodista,22/11/2019,Golea' en redes a Griezmann? y a Mbapp?,<a href='https://www.marca.com/futbol/real-madrid/2019/11/22/5dd6dd5822601dba3f8b456f.html' target='_blank'>'Golea' en redes a Griezmann? y a Mbapp?'</a><br/>
Marca,Artículo de datos,Estática,Papel,0,No se indica,Ninguna,0,Ninguna,Fútbol,Rafael Serra,No,Periodista,22/11/2019,Debutantes sin descanso,<a href='https://imgur.com/gU4I6RQ' target='_blank'>'Debutantes sin descanso'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Baloncesto,Ricardo Gonz?lez,No,Periodista,22/11/2019,"El Madrid y el CSKA, los reyes del nuevo formato","<a href='https://as.com/baloncesto/2019/11/22/euroliga/1574378062_458926.html' target='_blank'>'El Madrid y el CSKA, los reyes del nuevo formato'</a><br/>"
